ID,Title,Product,Repo,Assignee,Skill,Theme,Phase,Milestone,Status,Dependencies,Dev_hrs,TestDev_hrs,QA_hrs,Deploy_hrs,Buffer_hrs,Total_hrs,Remaining_hrs,Description,Acceptance
C3,Scale & corrosion chemistry,Sentry,pontus,Will,AE,C — Calculation Library,1,Post-MVP,Done,,32,14,6,0.5,6,58.5,0.0,"LSI/RSI/PSI/AI, mineral saturation panel, carbonate equilibrium (both directions), corrosion indicators. Total-analytical (documented).",Matches Proteus oracle (LSI -0.24; carbonate divergent pH ~6.86)
C4,Cooling-performance math,Sentry,pontus,Will,AE,C — Calculation Library,1,Aug,To-do,,20,9,4,0.5,4,37.5,37.5,"Approach to wet bulb, condenser/evaporator approach, range, kW/ton, cost per ton-hour.",Validated against worked examples
C5,Water & chemical cost math,Sentry,pontus,Will,AE,C — Calculation Library,1,Jul,In-progress,,20,9,4,0.5,4,37.5,18.8,RFQ 3D formulas: evap=circ*dT*0.00085; bleed=E/(N-1); makeup; water/sewer=gal/748*$/HCF; cycle savings; inhibitor loss; active-halogen. No invented savings.,Matches cost fixtures (~$18.2k example)
C6,Biological-control math,Sentry,pontus,Will,AE,C — Calculation Library,1,Post-MVP,To-do,,12,5,2,0.5,2,21.5,21.5,"Days-to-positive, ATP/plate-count handling, action-level logic.",Validated with SME
C7,Double-counting guards,Sentry,pontus,Will,AE,C — Calculation Library,2,Aug,To-do,C5,16,7,3,0.5,3,29.5,29.5,Cross-opportunity rules so cycles/reclaim/sewer savings use one consistent water balance & billing basis.,Combined-savings tests show no double-count
D1,Data-quality findings engine,Sentry,pontus,Will,AE,D — Analysis Engine,2,Post-MVP,Done,"B5,C1",32,11,6,1,6,56,0.0,"Produce report findings (source gaps, stopped logging, frequent gaps, inner/system pause, negative values, started late, never collected) with severity, affected metrics, what-to-do.",Findings match validated Sentry report
D2,Status & metrics rollup,Sentry,pontus,Will,AE,D — Analysis Engine,2,Jul,In-progress,D1,20,7,4,1,4,36,18.0,"Per-metric status + metrics-by-status, problems-by-metrics-affected, issues-over-time summaries.",Rollups reconcile with findings
D3,Inhibitor/oxidant/corrosion/biological capability,Sentry,pontus,Will,AE,D — Analysis Engine,2,Post-MVP,To-do,"C2,C3,C6",32,11,6,1,6,56,56.0,Four analyzers vs target/action levels.,Each flags known control failures in test data
D4,Heat-transfer & water-balance capability,Sentry,pontus,Will,AE,D — Analysis Engine,2,Jul,To-do,"C4,C5",20,7,4,1,4,36,36.0,Approach/range/chilled-water (heat-transfer); makeup vs evap+bleed+drift residual (leak signal).,Detects seeded leak and fouling trend
D5,Chemical-feed capability,Sentry,pontus,Will,AE,D — Analysis Engine,2,Aug,To-do,C5,16,6,3,1,3,29,29.0,"Product use vs makeup/bleed/load/residual to flag over/underfeed, siphoning, pump miscalibration.",Flags seeded over/underfeed
D6,Operator/shift/before-after analysis,Sentry,pontus,Will,AE,D — Analysis Engine,3,Post-MVP,To-do,C2,28,10,6,1,5,50,50.0,Compare mean/spread/missingness by technician & weekday/shift; before-vs-after a change.,Differences surface with clear stats
D7,Regression & design-of-experiments,Sentry,pontus,Will,AE,D — Analysis Engine,3,Post-MVP,To-do,C2,32,11,6,1,6,56,56.0,Relate cycles/bleed/approach/chemical to load/wet-bulb/source/season; DOE plans. Feeds graphs #20/#23.,Regression feeds graphs; DOE plan documented
D8,Forecasting (statistical),Sentry,pontus,Will,AE,D — Analysis Engine,3,Post-MVP,To-do,"C2,D7",28,10,6,1,5,50,50.0,"Forecast water/chemical use, approach degradation, out-of-limit risk from the log. Feeds graph #46.",Forecast + band validated on held-out data
E0,Reusable graph framework,Sentry,sentry-fe,Parker,FE,E — Graphs S1,2,Jul,To-do,A2,64,22,13,2,12,113,113.0,"Shared chart foundation: series binding from Sentry fields, target/limit/status bands, overlays (cleanings, chemical/source changes, calibration), filtering (date/asset/mode/technician/event), export/share. Every graph configures this.",Framework renders a sample graph with overlays + export
E1,Graph #1: Data-quality dashboard,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,16,5,3,1,3,28,28.0,"Missing tests, formula errors, rejected values, late entries, technician completion by day/month.",Renders from representative data; transforms match calc library; unit-tested; acceptance render
E2,Graph #2: Formula-error heat map,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Cells/variables with spreadsheet errors by month.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E3,Graph #3: Range-limit heat map,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Daily values colored below/in/above limit and missing.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E4,Graph #4: Time-series trend with limits,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Jul,To-do,E0,8,2,2,1,2,15,15.0,Each variable over time with target and limits — the core graph.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E5,Graph #5: Small-multiple trends,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,12,4,2,1,2,21,21.0,Many related variables in consistent panels.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E6,Graph #6: Individual & moving range chart,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,14,4,3,1,3,25,25.0,Single daily measurements + moving range (default SPC).,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E7,Graph #7: X-bar & range chart,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,14,4,3,1,3,25,25.0,Subgroup mean and range.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E8,Graph #8: X-bar & standard deviation chart,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,14,4,3,1,3,25,25.0,Subgroup mean and standard deviation.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E9,Graph #9: EWMA chart,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,14,4,3,1,3,25,25.0,Weighted trend emphasizing recent drift (slow shifts).,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E10,Graph #10: CUSUM chart,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,14,4,3,1,3,25,25.0,Cumulative deviation from target (small persistent shifts).,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E11,Graph #11: p chart,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,12,4,2,1,2,21,21.0,Proportion out-of-limit or missed tests.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E12,Graph #12: u chart,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,12,4,2,1,2,21,21.0,Defects per unit where opportunity count varies.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E13,Graph #13: Capability histogram,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,12,4,2,1,2,21,21.0,Histogram with spec limits and target.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E14,Graph #14: Capability Sixpack,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,18,5,4,1,3,31,31.0,"Control chart, moving range, histogram, probability plot, indices, last obs.",Renders from representative data; transforms match calc library; unit-tested; acceptance render
E15,Graph #15: Probability plot,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,12,4,2,1,2,21,21.0,Distribution vs normal/lognormal/Weibull.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E16,Graph #16: Boxplot by month,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Distribution by month.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E17,Graph #17: Boxplot by technician,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Distribution by technician/shift.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E18,Graph #18: Histogram by operating mode,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Distribution by potable/reclaim/soft/blended makeup.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E19,Graph #19: Scatter plot,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,8,2,2,1,2,15,15.0,"Two variables (e.g., pH vs oxidant).",Renders from representative data; transforms match calc library; unit-tested; acceptance render
E20,Graph #20: Scatter + regression line,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,12,4,2,1,2,21,21.0,Relationship with fitted line + confidence band.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E21,Graph #21: Scatter plot matrix,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,14,4,3,1,3,25,25.0,All key variables in a matrix.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E22,Graph #22: Correlation heat map,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,12,4,2,1,2,21,21.0,Correlation among chemistry/water/temp/load/cost.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E23,Graph #23: Residual plot,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Model residuals over time and vs fitted.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
E24,Graph #24: Pareto chart,Sentry,pontus + sentry-fe,Parker,FE,E — Graphs S1,2,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Ranked sources of out-of-limit events / cost / waste.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F25,Graph #25: Water balance waterfall,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Jul,To-do,E0,14,4,3,1,3,25,25.0,"Makeup, evaporation, bleed, drift, unexplained loss.",Renders from representative data; transforms match calc library; unit-tested; acceptance render
F26,Graph #26: Cycles versus bleed curve,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Jul,To-do,E0,8,2,2,1,2,15,15.0,Bleed volume as cycles increase.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F27,Graph #27: Cycles by tracer graph,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,12,4,2,1,2,21,21.0,Conductivity cycles vs silica/chloride/hardness/alkalinity cycles.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F28,Graph #28: Makeup source trend,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,8,2,2,1,2,15,15.0,Potable/reclaim/soft/blended makeup chemistry over time.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F29,Graph #29: Blend validation graph,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,12,4,2,1,2,21,21.0,Expected blend chemistry vs measured blended makeup.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F30,Graph #30: Approach to wet bulb trend,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Aug,To-do,E0,8,2,2,1,2,15,15.0,Supply temp minus wet bulb with target/limits.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F31,Graph #31: Approach versus wet bulb scatter,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Tower approach vs wet bulb and load.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F32,Graph #32: Range versus load graph,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Return minus supply temp vs tons online.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F33,Graph #33: Chiller condenser approach trend,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Aug,To-do,E0,8,2,2,1,2,15,15.0,Condenser approach over time with cleaning events.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F34,Graph #34: Chiller evaporator approach trend,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,8,2,2,1,2,15,15.0,Evaporator approach over time with load.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F35,Graph #35: Kilowatts per ton trend,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,8,2,2,1,2,15,15.0,Chiller energy intensity over time.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F36,Graph #36: Cost per ton-hour trend,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Water/sewer/chemical/energy cost per ton-hour.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F37,Graph #37: Water cost stacked bar,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Aug,To-do,E0,10,3,2,1,2,18,18.0,Potable/sewer/reclaim/bleed/losses by month.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F38,Graph #38: Chemical use trend,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Aug,To-do,E0,8,2,2,1,2,15,15.0,Daily product use by product and system.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F39,Graph #39: Chemical inventory forecast,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,14,4,3,1,3,25,25.0,Tank inventory and forecast days remaining.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F40,Graph #40: Dose versus residual graph,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Product dose vs measured residual/outcome.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F41,Graph #41: Active halogen fraction graph,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Active acid-form chlorine/bromine vs pH.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F42,Graph #42: Biological result trend,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,8,2,2,1,2,15,15.0,Days-to-positive or counts over time.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F43,Graph #43: Iron and nitrite closed-loop graph,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Iron vs nitrite and pH over time.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F44,Graph #44: Event overlay chart,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,14,4,3,1,3,25,25.0,Chemical changes/cleanings/source changes/repairs on trends.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F45,Graph #45: Before-after chart,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,10,3,2,1,2,18,18.0,Metric distribution before vs after a change.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
F46,Graph #46: Forecast chart,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,14,4,3,1,3,25,25.0,"Predicted chemical/water use, approach, out-of-limit risk.",Renders from representative data; transforms match calc library; unit-tested; acceptance render
F47,Graph #47: Geographic or asset comparison,Sentry,pontus + sentry-fe,Parker,FE,F — Graphs S2,3,Post-MVP,To-do,E0,14,4,3,1,3,25,25.0,Towers/chillers/loops/sites side by side.,Renders from representative data; transforms match calc library; unit-tested; acceptance render
G0,Cost-out framework & ranking engine,Sentry,pontus + sentry-fe,Will,AE,G — Cost-Out,3,Aug,To-do,"C5,C7",48,17,12,2,9,88,88.0,"Common opportunity shape (signal->inputs->calc->annual $->confidence) + ordered savings list sorted by $/yr with rank, category, required action, supporting graphs, calc support. Missing data -> incomplete, never fabricated.",Ranked list sorts by $/yr; missing-data path shows incomplete
G1,Cost-out #1: Cycles optimization,Sentry,pontus,Will,AE,G — Cost-Out,3,Aug,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Cycles optimization': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G2,Cost-out #2: Best-cycle by limiting ion,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,16,6,3,1,3,29,29.0,"Implement opportunity 'Best-cycle by limiting ion': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G3,Cost-out #3: Bleed-valve performance,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Bleed-valve performance': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G4,Cost-out #4: Water-balance leak detection,Sentry,pontus,Will,AE,G — Cost-Out,3,Aug,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Water-balance leak detection': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G5,Cost-out #5: Reuse-water value,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,16,6,3,1,3,29,29.0,"Implement opportunity 'Reuse-water value': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G6,Cost-out #6: Potable-vs-reclaim blending,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,16,6,3,1,3,29,29.0,"Implement opportunity 'Potable-vs-reclaim blending': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G7,Cost-out #7: Side-stream filtration value,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Side-stream filtration value': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G8,Cost-out #8: Tower approach to wet bulb,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Tower approach to wet bulb': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G9,Cost-out #9: Tower range control,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Tower range control': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G10,Cost-out #10: Chiller condenser approach,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Chiller condenser approach': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G11,Cost-out #11: Chiller evaporator approach,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Chiller evaporator approach': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G12,Cost-out #12: Chilled-water supply temp optimization,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Chilled-water supply temp optimization': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G13,Cost-out #13: Condenser-water temp optimization,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Condenser-water temp optimization': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G14,Cost-out #14: Fan energy optimization,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Fan energy optimization': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G15,Cost-out #15: Pump energy optimization,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Pump energy optimization': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G16,Cost-out #16: Chemical overfeed,Sentry,pontus,Will,AE,G — Cost-Out,3,Aug,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Chemical overfeed': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G17,Cost-out #17: Chemical underfeed,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Chemical underfeed': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G18,Cost-out #18: Biocide optimization,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Biocide optimization': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
